"DTI_CL_UNIDAD_MEDIDA","Unit of measurement","DTI_CL_MES","Month","DTI_CL_GRUPO_OCU_IR","Occupational group","Value","Flag Codes","Flags"
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_8","Operadores de instalaciones y máquinas y montadores",7.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_9","Trabajadores no calificados",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",7.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_2","Profesionales científicos e intelectuales",4.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_3","Técnicos y profesionales de nivel medio",4.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_4","Empleados de oficina",5.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",-5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_5_B","Vendedores, promotores y modelos",9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",5.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_8","Operadores de instalaciones y máquinas y montadores",6.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February","ISCO88_9","Trabajadores no calificados",7.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",6.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_2","Profesionales científicos e intelectuales",4.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_3","Técnicos y profesionales de nivel medio",4.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_4","Empleados de oficina",5.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",3.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_5_B","Vendedores, promotores y modelos",13.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",5.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March","ISCO88_9","Trabajadores no calificados",6.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",6.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_2","Profesionales científicos e intelectuales",3.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_3","Técnicos y profesionales de nivel medio",4.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_4","Empleados de oficina",5.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",-4.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_5_B","Vendedores, promotores y modelos",13,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",4.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_8","Operadores de instalaciones y máquinas y montadores",5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April","ISCO88_9","Trabajadores no calificados",6.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_2","Profesionales científicos e intelectuales",4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_3","Técnicos y profesionales de nivel medio",4.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_4","Empleados de oficina",6.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",1.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_5_B","Vendedores, promotores y modelos",13.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",4.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May","ISCO88_9","Trabajadores no calificados",5.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_2","Profesionales científicos e intelectuales",3.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_3","Técnicos y profesionales de nivel medio",3.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_4","Empleados de oficina",6.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",4.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_5_B","Vendedores, promotores y modelos",6.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",5.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_8","Operadores de instalaciones y máquinas y montadores",3.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June","ISCO88_9","Trabajadores no calificados",6.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",4.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_2","Profesionales científicos e intelectuales",3.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_3","Técnicos y profesionales de nivel medio",3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_4","Empleados de oficina",5.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",0.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_5_B","Vendedores, promotores y modelos",5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",6.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_8","Operadores de instalaciones y máquinas y montadores",3.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July","ISCO88_9","Trabajadores no calificados",4.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",3.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_2","Profesionales científicos e intelectuales",3.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_3","Técnicos y profesionales de nivel medio",2.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_4","Empleados de oficina",4.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",0.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_5_B","Vendedores, promotores y modelos",2.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",6.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August","ISCO88_9","Trabajadores no calificados",3.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_2","Profesionales científicos e intelectuales",3.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_3","Técnicos y profesionales de nivel medio",4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_4","Empleados de oficina",5.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",2.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_5_B","Vendedores, promotores y modelos",5.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_8","Operadores de instalaciones y máquinas y montadores",5.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September","ISCO88_9","Trabajadores no calificados",5.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",3.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_2","Profesionales científicos e intelectuales",3.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_3","Técnicos y profesionales de nivel medio",3.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_4","Empleados de oficina",4.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",2.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_5_B","Vendedores, promotores y modelos",6.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",6.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October","ISCO88_9","Trabajadores no calificados",6.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",3.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_2","Profesionales científicos e intelectuales",3.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_3","Técnicos y profesionales de nivel medio",3.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_4","Empleados de oficina",5.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",2.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_5_B","Vendedores, promotores y modelos",5.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",6.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_8","Operadores de instalaciones y máquinas y montadores",4.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November","ISCO88_9","Trabajadores no calificados",5.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",3.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_2","Profesionales científicos e intelectuales",3.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_3","Técnicos y profesionales de nivel medio",2.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_4","Empleados de oficina",4.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",3.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_5_B","Vendedores, promotores y modelos",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",5.9,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_8","Operadores de instalaciones y máquinas y montadores",2.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December","ISCO88_9","Trabajadores no calificados",5.6,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",5.1,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_2","Profesionales científicos e intelectuales",3.3,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_3","Técnicos y profesionales de nivel medio",2.5,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_4","Empleados de oficina",5.2,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",-3.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January","ISCO88_5_B","Vendedores, promotores y modelos",4,,
